samdate,sampler,growblk,variety,brix,ta,ph,avg. berry wt.,dMACH
05-09-20,VT,*02MEI,MER,25.2,5.86,3.52,,
05-09-19,VT,INKSBX,SBL,24.5,8.3,3.21,,
05-09-19,VT,INKSBX,SBL,23.6,6.7,3.41,,
05-09-19,VT,INKPNZ,PNN,23.6,7.34,0,,
05-09-19,VT,INKPNG,PNN,23,6.49,4.02,,
05-09-19,VT,INKPNG,PNN,22.5,7.8,0,,
05-09-19,VT,INKPGY,PGR,21.7,6.77,3.82,,
05-09-19,VT,INKEHZ,EHR,21.7,6.89,3.54,,
05-09-19,WP,*12PNH,PNN,21.1,6.91,4.1,,
05-09-19,WP,*12PNC,PNN,19.9,7.57,3.78,,
05-09-19,WP,*12PNA,PNN,22.2,6.8,4.09,,
05-09-19,WP,*11PNF,PNN,23.7,8.84,3.66,,
05-09-19,WP,*11CHO,CHD,23.6,7.55,3.66,,
05-09-19,WP,*11CHE,CHD,23.7,8.12,3.52,,
05-09-19,WP,*11CHD,CHD,23.5,7.55,3.62,,
05-09-19,WP,*11CHC,CHD,23.1,7.5,3.62,,
05-09-19,WP,*11CHB,CHD,23.6,7.64,3.65,,
05-09-19,WP,*11CHA,CHD,23.6,7.68,3.5,,
05-09-19,WP,*10PGV,PGR,22,6.56,3.9,,
05-09-19,WP,*10PGD,PGR,22.9,5.64,3.95,,
05-09-19,WP,*10CHQ,CHD,22.5,6.83,3.78,,
05-09-19,WP,*10CHP,CHD,23.4,6.09,3.89,,
05-09-19,WP,*10CHA,CHD,23.5,5.86,3.76,,
05-09-19,VT,*08CHA,CHD,22.5,7.09,0,,
05-09-19,VT,*03CHN,CHD,23.4,6.78,0,,
05-09-19,VT,*03CHM,CHD,23.3,7.32,0,,
05-09-19,VT,*02CHD,CHD,23.3,6.36,0,,
05-09-19,VT,*02CHC,CHD,23.9,6.06,0,,
05-09-17,LB,RAIPGR,PGR,19.8,8.55,3.15,,
05-09-16,JS,*15PGU,PGR,22.1,10,3.22,,
05-09-15,AN,*12PBM,PBL,19.9,7.05,3.61,,
05-09-15,AN,*12PBF,PBL,19.1,8.65,3.64,,
05-09-15,WP,*11PBS,PBL,22.3,6.33,3.58,,
05-09-15,SL,*10RSU,RSL,17.9,10.73,3.27,,
05-09-15,WP,*10RSF,RSL,21.3,8.78,3.22,,
05-09-15,AN,*10PBX,PBL,20.6,6.09,3.77,,
05-09-15,AN,*10PBW,PBL,20.7,5.95,3.75,,
05-09-15,WP,*10PBT,PBL,20.3,6.72,3.75,,
05-09-15,SL,*10PBS,PBL,20.5,6.4,3.63,,
05-09-15,TT,*07PNC,PNN,22.3,9.58,3.32,,
05-09-15,TT,*07PNC,PNN,21.7,9.34,3.43,,
05-09-15,TT,*07PNC,PNN,22.2,9.09,3.68,,
05-09-15,TT,*07PNC,PNN,21,9.88,3.78,,
05-09-15,SL,*03PBD,PBL,22.7,7.69,3.34,,
05-09-15,SL,*03PBC,PBL,22.3,8.15,3.32,,
05-09-14,LB,SDHPG,PGR,20.1,7.65,3.17,,
05-09-14,LB,SDHGZ,GZT,20.9,5.25,3.48,,
05-09-14,SL,INKSBX,SBL,23,6.8,3.48,,
05-09-14,SL,INKPNZ,PNN,22.4,7.19,3.64,,
05-09-14,VT,*15PGV,PGR,23.3,8.66,3.25,,
05-09-14,VT,*15PGU,PGR,23.1,7.89,3.35,,
05-09-14,VT,*15PGU,PGR,22.6,8.02,3.44,,
05-09-14,VT,*15PGT,PGR,23,7.56,3.46,,
05-09-14,VT,*15PGT,PGR,22.4,8.39,3.37,,
05-09-14,VT,*15GWH,GZT,21.3,7.21,3.41,,
05-09-14,VT,*15CHY,CHD,21.4,9,3.3,,
05-09-14,VT,*15CHG,CHD,20.1,11.29,3.25,,
05-09-14,VT,*15CHF,CHD,20.3,12.24,3.29,,
05-09-14,VT,*15CHC,CHD,20.9,11.36,3.24,,
05-09-14,VT,*15CHC,CHD,20.9,11.53,3.17,,
05-09-14,AN,*12SBJ,SBL,23.6,6.38,3.96,,
05-09-14,SL,*12PNO,PNN,21.6,5.92,4.11,,
05-09-14,SL,*12PNH,PNN,21.2,6.16,4.07,,
05-09-14,SL,*12PNA,PNN,21.6,5.9,3.96,,
05-09-14,SL,*11PNI,PNN,23.6,5.94,3.9,,
05-09-14,SL,*11PNH,PNN,23.4,5.91,3.75,,
05-09-14,WP,*11PNG,PNN,23.1,6.76,3.69,,
05-09-14,WP,*11PNF,PNN,22.7,7.6,3.69,,
05-09-14,WP,*10PNI,PNN,19.7,6.08,3.81,,
05-09-14,WP,*10PNH,PNN,19.6,6.83,3.68,,
05-09-14,WP,*10PNG,PNN,22.2,5.66,3.81,,
05-09-14,AN,*09MEC,MER,23.9,5.56,3.61,,
05-09-14,AN,*09MEA,MER,24.4,5.52,3.6,,
05-09-14,WP,*08MEC,MER,22.6,4.93,3.49,,
05-09-14,SL,*08CHA,CHD,21.7,6.94,3.52,,
05-09-14,AN,*04MEA,MER,24.1,5.74,3.4,,
05-09-14,AN,*03PNB,PNN,24.1,6.8,3.61,,
05-09-14,AN,*03PNA,PNN,24.1,6.72,3.55,,
05-09-14,AN,*02MEM,MER,24.5,5.39,3.65,,
05-09-14,AN,*02MEL,MER,24.4,5.61,3.58,,
05-09-14,AN,*02MEJ,MER,24.1,5.17,3.64,,
05-09-14,AN,*02MEI,MER,24.4,5.11,3.72,,
05-09-14,AN,*01PNC,PNN,23,5.61,3.67,,
05-09-14,SL,*01MEH,MER,25.6,4.71,3.7,,
05-09-14,AN,*01MEG,MER,23.6,5.43,3.59,,
05-09-14,AN,*01MEE,MER,23.6,5.44,3.61,,
05-09-14,SL,*01MED,MER,22.6,5.46,3.57,,
05-09-14,WP,*01MEB,MER,23.1,5.66,3.63,,
05-09-14,SL,*01MEA,MER,22.7,5.21,3.62,,
05-09-13,WP,INKSBX,SBL,22.7,0,0,,
05-09-13,SL,INKPNZ,PNN,21.7,0,0,,
05-09-13,WP,INKPNG,PNN,21.2,0,0,,
05-09-13,SL,INKPNG,PNN,22.2,0,0,,
05-09-13,VT,*11CHX,CHD,22.7,6.73,3.45,,
05-09-13,VT,*11CHO,CHD,23.4,6.91,3.54,,
05-09-13,AN,*11CHE,CHD,22.7,7.59,3.42,,
05-09-13,AN,*11CHD,CHD,22.6,7.68,3.44,,
05-09-13,AN,*11CHC,CHD,22.7,7.68,3.47,,
05-09-13,AN,*11CHB,CHD,22.6,7.11,3.53,,
05-09-13,AN,*11CHA,CHD,22.8,6.38,3.52,,
05-09-13,SL,*10SZY,SHZ,21.8,8.49,3.6,,
05-09-13,SL,*10PGV,PGR,21.8,5.75,3.76,,
05-09-13,WP,*10PGR,PGR,22.1,4.56,3.87,,
05-09-13,SL,*10PGR,PGR,22.5,6.1,3.68,,
05-09-13,SL,*10PGD,PGR,22.1,5.13,3.75,,
05-09-13,SL,*10PGC,PGR,22.9,4.31,3.83,,
05-09-13,WP,*10CHQ,CHD,22.9,5.7,3.82,,
05-09-13,SL,*10CHQ,CHD,21.9,6.48,3.64,,
05-09-13,WP,*10CHP,CHD,22.8,5.73,3.76,,
05-09-13,WP,*10CHA,CHD,22.3,5.29,3.7,,
05-09-13,AN,*09PGD,PGR,22.6,4.91,3.53,,
05-09-13,AN,*09PGB,PGR,22.8,4.83,3.51,,
05-09-13,WP,*06PGH,PGR,20.9,5.77,3.76,,
05-09-13,SL,*06PGG,PGR,20.1,6.37,3.65,,
05-09-13,WP,*06PGE,PGR,21.6,8.35,3.4,,
05-09-13,WP,*06CHF,CHD,21,8.17,3.4,,
05-09-13,SL,*05CHK,CHD,21.5,7.47,3.52,,
05-09-13,WP,*05CHG,CHD,21.9,7.48,3.43,,
05-09-13,VT,*03MEF,MER,24,5.35,3.55,,
05-09-13,AN,*03CHN,CHD,22.8,6.27,3.45,,
05-09-13,AN,*03CHM,CHD,22.2,7.79,3.27,,
05-09-13,VT,*02SBR,SBL,23.3,7.07,3.24,,
05-09-13,VT,*02SBN,SBL,24.1,7.09,3.3,,
05-09-13,VT,*02SBN,SBL,21.7,7.09,3.3,,
05-09-13,AN,*02CHE,CHD,23.2,5.97,3.48,,
05-09-13,AN,*02CHD,CHD,22.6,6.29,3.39,,
05-09-13,AN,*02CHC,CHD,22.6,6.32,3.41,,
05-09-09,SL,*16SZL,SHZ,21.1,6.86,3.48,,
05-09-09,SL,*12SBJ,SBL,22.2,6.56,3.89,,
05-09-09,WP,*12MEP,MER,20.9,6.21,3.66,,
05-09-09,WP,*12MEI,MER,21.2,6.82,3.55,,
05-09-09,WP,*11MEZ,MER,23.6,5.25,3.56,,
05-09-09,SP,*11MEW,MER,23.2,4.92,3.6,,
05-09-09,WP,*11MEV,MER,23.4,5.6,3.54,,
05-09-09,SL,*10SBO,SBL,22.7,5.03,3.8,,
05-09-09,WP,*10MEJ,MER,22.1,5.25,3.68,,
05-09-09,WP,*04CFC,CAF,21.5,6.84,3.26,,
05-09-09,SL,*02CAS,CAS,22.7,7.93,3.36,,
05-09-09,SL,*02CAP,CAS,22.8,8.71,3.37,,
05-09-08,SL,*11SBY,SBL,24.2,6.29,3.67,,
05-09-08,SL,*11SBU,SBL,23.8,5.89,3.79,,
05-09-08,SL,*11SBT,SBL,23.5,6.47,3.69,,
05-09-08,WP,*11CHX,CHD,23.1,6.98,3.56,,
05-09-08,SL,*11CHO,CHD,23.3,7.3,3.64,,
05-09-08,JS,*09PGD,PGR,23.3,5.12,3.62,,
05-09-08,WP,*09MEC,MER,23.5,5.48,3.63,,
05-09-08,SL,*09MEA,MER,23.7,5.63,3.64,,
05-09-08,SL,*04MEA,MER,23.6,6.58,3.33,,
05-09-08,WP,*03MEJ,MER,23.9,5.2,3.77,,
05-09-08,SL,*03MEI,MER,22.7,4.66,4.08,,
05-09-08,WP,*03MEF,MER,23.8,6.36,3.58,,
05-09-08,SL,*03MEE,MER,21.8,5.74,3.47,,
05-09-08,VT,*02SBB,SBL,22.5,7.45,3.43,,
05-09-08,VT,*02SBB,SBL,21.7,6.97,3.45,,
05-09-08,VT,*02SBB,SBL,23.4,7.32,3.53,,
05-09-08,VT,*02SBB,SBL,23,7.43,3.47,,
05-09-08,SL,*02MEM,MER,23.7,5.77,3.54,,
05-09-08,WP,*02MEL,MER,23.6,6.87,3.47,,
05-09-08,WP,*02MEJ,MER,23.8,5.5,3.5,,
05-09-08,SL,*02MEI,MER,23.7,5.52,3.58,,
05-09-08,WP,*01MEH,MER,25.3,5.28,3.6,,
05-09-08,SL,*01MEG,MER,23.2,5.29,3.62,,
05-09-08,WP,*01MEE,MER,23.6,5.74,3.58,,
05-09-08,WP,*01MED,MER,21.7,6.76,3.5,,
05-09-08,SL,*01MEB,MER,23.4,5.53,3.58,,
05-09-08,SL,*01MEA,MER,22.7,5.78,3.62,,
05-09-07,WP,*12PNA,PNN,20.4,6.53,3.7,,
05-09-07,SL,*11PNI,PNN,22.9,6.67,3.6,,
05-09-07,WP,*11PNH,PNN,22.2,7.39,3.44,,
05-09-07,WP,*11PNG,PNN,23.4,7.93,3.54,,
05-09-07,SL,*11PNF,PNN,23.4,8.6,3.54,,
05-09-07,WP,*10SBB,SBL,22.2,5.09,3.69,,
05-09-07,WP,*10PNG,PNN,21.5,5.83,3.61,,
05-09-07,SL,*10PGV,PGR,21.1,6.25,3.65,,
05-09-07,SL,*10PGR,PGR,21.4,6.64,3.63,,
05-09-07,WP,*10PGR,PGR,21.4,6.11,3.63,,
05-09-07,SL,*10CHA,CHD,22.4,6.18,3.59,,
05-09-07,SL,*08PGB,PGR,23.2,7.27,3.35,,
05-09-07,WP,*08PGB,PGR,23,6.92,3.37,,
05-09-07,SL,*08MEC,MER,21.2,6.8,3.27,,
05-09-07,SL,*08CHA,CHD,21,8.13,3.31,,
05-09-06,SL,*11CHE,CHD,21.8,8.56,3.4,,
05-09-06,SL,*11CHD,CHD,21.7,8.34,3.47,,
05-09-06,SL,*11CHC,CHD,21.9,8.26,3.47,,
05-09-06,SL,*11CHA,CHD,21.8,8.04,3.5,,
05-09-06,SL,*09PGD,PGR,22.5,6.71,3.49,,
05-09-06,SL,*09PGB,PGR,22.3,5.72,3.55,,
05-09-06,TT,*07PNC,PNN,22.3,9.02,3.21,,
05-09-06,TT,*07PNC,PNN,21.3,10.48,3.09,,
05-09-06,TT,*07PNC,PNN,21.8,9.6,3.1,,
05-09-06,TT,*07PNC,PNN,21.6,8.64,3.35,,
05-09-06,SL,*04PNB,PNN,25.8,6.17,3.69,,
05-09-06,SL,*03PNB,PNN,23.1,8.15,3.54,,
05-09-06,SL,*03PNA,PNN,22.7,7.95,3.53,,
05-09-06,WP,*03PBD,PBL,21.5,9,3.24,,
05-09-06,WP,*03PBC,PBL,20.5,9.54,3.19,,
05-09-06,SL,*03CHN,CHD,21.9,5.97,3.56,,
05-09-06,WP,*03CHM,CHD,21.1,9.21,3.26,,
05-09-06,JS,*02SBR,SBL,24.6,8.16,3.32,,
05-09-06,WP,*02SBR,SBL,21.9,8.95,3.21,,
05-09-06,SL,*02SBN,SBL,22.4,8.2,3.3,,
05-09-06,JS,*02SBN,SBL,24,8.39,3.25,,
05-09-06,WP,*02SBN,SBL,23.3,7.37,3.29,,
05-09-06,SL,*02SBK,SBL,22.8,8.26,3.33,,
05-09-06,JS,*02SBK,SBL,24.3,8.57,3.26,,
05-09-06,SL,*02SBB,SBL,20.5,7.73,3.3,,
05-09-06,SL,*02SBB,SBL,22.4,8.05,3.33,,
05-09-06,SL,*02SBB,SBL,20.7,7.98,3.34,,
05-09-06,WP,*02SBB,SBL,21.4,6.63,3.38,,
05-09-06,WP,*02SBB,SBL,23.7,7.41,3.34,,
05-09-06,WP,*02SBB,SBL,23.1,6.64,3.42,,
05-09-06,WP,*02CHE,CHD,22.4,6.7,3.45,,
05-09-06,SL,*02CHD,CHD,21.6,6.86,3.47,,
05-09-06,SL,*02CHC,CHD,21.9,7.18,3.43,,
05-09-06,SL,*01PNC,PNN,22.7,5.91,3.7,,
05-09-02,SL,INKSBX,SBL,19.8,9,2.99,,
05-09-02,SL,INKPNZ,PNN,19.6,8.7,3.3,,
05-09-02,SL,INKPNG,PNN,19.2,9.68,3.03,,
05-09-01,SL,*15PGU,PGR,20.2,11.15,3.08,,
05-09-01,SL,*15GWH,GZT,18.1,11.41,3.01,,
05-09-01,SL,*15CHY,CHD,18,11.57,3.07,,
05-09-01,SL,*15CHG,CHD,16.6,17.08,2.84,,
05-09-01,SL,*15CHF,CHD,16.5,17.99,2.89,,
05-09-01,SL,*15CHE,CHD,17.6,15.09,2.9,,
05-09-01,SL,*15CHD,CHD,16.6,16.35,2.88,,
05-09-01,SL,*15CHC,CHD,17,16.61,2.9,,
05-08-31,VT,*15PGT,PGR,20,9.8,3.33,,
05-08-31,WP,*12SBJ,SBL,20.7,7.42,4.01,,
05-08-31,WP,*12PNO,PNN,18.7,8.74,3.87,,
05-08-31,WP,*12PNH,PNN,17.9,8.38,3.87,,
05-08-31,WP,*12PNC,PNN,17.6,8.52,3.62,,
05-08-31,WP,*12PBM,PBL,16.8,9.62,3.64,,
05-08-31,SL,*10PGV,PGR,19.8,8.4,3.72,,
05-08-31,SL,*10PGD,PGR,20.2,6.7,3.78,,
05-08-31,SL,*10PGC,PGR,22.1,5.7,3.74,,
05-08-31,SL,*10PBX,PBL,17.6,10.1,3.5,,
05-08-31,SL,*10PBW,PBL,18.7,9.2,3.53,,
05-08-31,SL,*10PBT,PBL,17.6,10.7,3.5,,
05-08-31,SL,*04PNB,PNN,24.2,6.51,3.64,,
05-08-31,SL,*03PBD,PBL,20.3,10.4,3.26,,
05-08-31,SL,*03CHN,CHD,21.3,7.8,3.5,,
05-08-31,WP,*03CHN,CHD,21.4,7.65,3.5,,
05-08-31,SL,*02SBR,SBL,22.1,9.1,3.25,,
05-08-31,WP,*02SBN,SBL,23.3,9.14,3.37,,
05-08-31,WP,*02SBK,SBL,21.8,9.63,3.31,,
05-08-31,SL,*02SBB,SBL,19.5,9.5,3.23,,
05-08-30,?,SPEPCF,CSA,20,5.4,3.59,,
05-08-30,SL,*11SBY,SBL,22.1,6.9,3.55,,
05-08-30,SL,*11SBT,SBL,21.5,8.2,3.55,,
05-08-30,SL,*11SBJ,SBL,19.3,11.7,3.31,,
05-08-30,WP,*11PNI,PNN,20.5,8.6,3.64,,
05-08-30,WP,*11PNH,PNN,20.3,9,3.59,,
05-08-30,WP,*11PNG,PNN,21.4,8.7,3.59,,
05-08-30,WP,*11PNF,PNN,21.9,9,3.77,,
05-08-30,SL,*11PBS,PBL,19.6,8,3.43,,
05-08-30,WP,*11CHE,CHD,21,8.7,3.51,,
05-08-30,WP,*11CHD,CHD,20.8,8.3,3.53,,
05-08-30,WP,*11CHC,CHD,20.9,8.5,3.6,,
05-08-30,WP,*11CHB,CHD,20.3,8.5,3.61,,
05-08-30,WP,*11CHA,CHD,20.3,8.1,3.5,,
05-08-30,SL,*10SBO,SBL,19.9,6.6,3.73,,
05-08-30,SL,*10SBB,SBL,19,7.6,3.66,,
05-08-30,SL,*10PNI,PNN,19.1,7.9,3.65,,
05-08-30,SL,*10PNH,PNN,19.7,7.6,3.67,,
05-08-30,SL,*10PNG,PNN,20.2,7.8,3.57,,
05-08-30,SL,*10PGR,PGR,19.8,7.7,3.66,,
05-08-30,SL,*10PBS,PBL,17.6,9.7,3.53,,
05-08-30,SL,*10CHQ,CHD,20.1,8.4,3.65,,
05-08-30,SL,*10CHP,CHD,20.9,7,3.76,,
05-08-30,SL,*09PGD,PGR,20.1,6.8,3.46,,
05-08-30,SL,*04PNB,PNN,24.4,6.2,3.71,,
05-08-30,SL,*01PNC,PNN,20.7,6.25,3.59,,
05-08-29,SL,*08PGB,PGR,21.1,8.2,3.43,,
05-08-29,SL,*08MEC,MER,18.6,9.6,3.19,,
05-08-29,SL,*08CHA,CHD,19.1,9.4,3.36,,
05-08-29,SL,*03PNB,PNN,21.8,9.2,3.41,,
05-08-29,SL,*03PNA,PNN,22.3,9,3.5,,
05-08-29,SL,*03PBC,PBL,19,11.9,3.17,,
05-08-26,SL,*12PNA,PNN,17.4,10.3,3.66,,
05-08-26,WP,*12PBF,PBL,14.1,15.7,3.32,,
05-08-26,SL,*11SBU,SBL,19.9,8.9,3.47,,
05-08-26,WP,*11CHX,CHD,20,7.9,3.5,,
05-08-26,SL,*11CHO,CHD,19.8,9.4,3.49,,
05-08-26,SL,*10CHA,CHD,19.6,8.2,3.62,,
05-08-26,WP,*10CHA,CHD,19.6,7.6,3.59,,
05-08-26,SL,*09PGB,PGR,20.2,6.6,3.5,,
05-08-26,WP,*09PGB,PGR,20.5,6.6,3.52,,
05-08-26,WP,*04PNB,PNN,22.2,7.9,3.51,,
05-08-26,WP,*02SBN,SBL,20.3,9,3.27,,
05-08-26,SL,*02SBB,SBL,19,9.7,3.21,,
05-08-25,SL,*03CHM,CHD,18.9,11.1,3.27,,
05-08-25,SL,*02CHE,CHD,19.8,7.9,3.48,,
05-08-25,WP,*02CHD,CHD,19,8.45,3.31,,
05-08-25,WP,*02CHC,CHD,19.9,8.85,3.33,,
05-08-25,VT,*02CHC,CHD,19.7,8.3,3.36,,
05-08-25,SL,*02CHC,CHD,19.9,8.9,3.32,,
